Index,Week,Day,Date,Time,Home,Away,ScoreH,ScoreA,Attendance,Venue,Longitude,Latitude,Capacity,H_Followers,A_Followers,Families,Period,Weekend,PosH,PosA
119,18,Thursday,2011-02-24,20:20:00,Al-Nassr,Al-Faisaly,3,2,3290,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,3100000,103900,No,Night,Yes,4,6
120,18,Thursday,2011-02-24,20:20:00,Al-Ittihad,Al-Ahli,2,0,15758,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,4000000,2000000,No,Night,Yes,2,7
121,18,Thursday,2011-02-24,20:20:00,Al-Wehda,Al-Hazem,8,1,233,King Abdul Aziz Sport City Stadium,39.974081,21.485366,38000,226600,49700,No,Night,Yes,9,14
122,18,Friday,2011-02-25,20:20:00,Najran,Al-Ettifaq,2,4,1460,Al-Ukhdood Stadium,44.24472,17.59028,2800,31200,226500,No,Night,Yes,13,5
123,18,Friday,2011-02-25,20:20:00,Al-Raed,Al-Taawoun,0,0,14909,King Abdullah Sport City Stadium,43.9478,26.3789,25000,149200,208700,No,Night,Yes,8,12
124,18,Friday,2011-02-25,20:20:00,Al-Fateh,Al-Hilal,1,2,9281,Prince Abdullah Bin Jalawi Sport City Stadium,49.612778,25.305833,27550,161100,9600000,No,Night,Yes,9,1
125,18,Friday,2011-02-25,20:20:00,Al-Qadisiyah,Al-Shabab,1,1,266,Prince Saud Bin Jalawi Sport City Stadium,50.2052,26.3699,21100,91700,414900,No,Night,Yes,10,3
126,19,Thursday,2011-03-03,20:25:00,Al-Hazem,Al-Faisaly,0,3,93,Al-Hazm Club Stadium,43.50235,25.862347,3000,49700,103900,No,Night,Yes,14,6
127,19,Friday,2011-03-04,20:25:00,Najran,Al-Taawoun,0,3,683,Al-Ukhdood Stadium,44.24472,17.59028,2800,31200,208700,No,Night,Yes,13,12
128,19,Friday,2011-03-04,20:25:00,Al-Ettifaq,Al-Wehda,3,0,1587,Prince Mohamed bin Fahd Stadium,50.1141,26.4272,26000,226500,226600,No,Night,Yes,5,10
129,19,Sunday,2011-03-06,20:25:00,Al-Shabab,Al-Fateh,0,0,103,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,414900,161100,No,Night,No,4,11
130,19,Sunday,2011-03-06,20:25:00,Al-Nassr,Al-Qadisiyah,0,0,2679,King Fahad International Stadium,46.839236,24.788206,67000,3100000,91700,No,Night,No,3,11
131,19,Sunday,2011-03-06,20:25:00,Al-Ahli,Al-Hilal,1,1,15715,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,2000000,9600000,No,Night,No,7,1
132,19,Monday,2011-03-07,20:25:00,Al-Ittihad,Al-Raed,3,0,4398,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,4000000,149200,No,Night,No,2,8
133,20,Thursday,2011-03-17,20:30:00,Al-Raed,Al-Hazem,2,0,4949,King Abdullah Sport City Stadium,43.9478,26.3789,25000,149200,49700,No,Night,Yes,8,14
134,20,Thursday,2011-03-17,20:30:00,Al-Fateh,Al-Ettifaq,1,0,914,Prince Abdullah Bin Jalawi Sport City Stadium,49.612778,25.305833,27550,161100,226500,No,Night,Yes,12,3
135,20,Friday,2011-03-18,20:30:00,Al-Taawoun,Al-Ahli,2,1,3956,King Abdullah Sport City Stadium,43.9478,26.3789,25000,208700,2000000,No,Night,Yes,10,7
136,20,Friday,2011-03-18,20:30:00,Al-Faisaly,Al-Qadisiyah,2,1,532,King Salman Bin Abdul Aziz Sport City Stadium,45.368019,25.886929,7000,103900,91700,No,Night,Yes,6,10
137,20,Sunday,2011-03-20,20:30:00,Al-Shabab,Najran,0,1,46,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,414900,31200,No,Night,No,5,13
138,20,Sunday,2011-03-20,20:30:00,Al-Hilal,Al-Ittihad,0,0,19212,King Fahad International Stadium,46.839236,24.788206,67000,9600000,4000000,No,Night,No,1,2
139,20,Sunday,2011-03-20,20:30:00,Al-Wehda,Al-Nassr,1,3,2921,King Abdul Aziz Sport City Stadium,39.974081,21.485366,38000,226600,3100000,No,Night,No,9,4
140,21,Friday,2011-04-01,20:35:00,Al-Nassr,Al-Raed,1,0,3136,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,3100000,149200,No,Night,Yes,3,7
141,21,Friday,2011-04-01,20:35:00,Al-Ittihad,Al-Taawoun,0,1,4037,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,4000000,208700,No,Night,Yes,2,9
142,21,Friday,2011-04-01,20:35:00,Al-Hazem,Al-Shabab,0,4,82,Al-Hazm Club Stadium,43.50235,25.862347,3000,49700,414900,No,Night,Yes,14,5
